p,q,r,snr,cnr,k,eta,Ji
0,0,1,22.56163956368901,6.536975759417127,9,0.755600642264535,0.9241607449154619
0,0,2,22.57035219031438,6.534188461659622,9,0.7556401731920749,0.9243851706839594
0,1,1,20.31508500065361,6.098048271512188,8,0.7585034452167401,0.9084583083383323
0,1,2,20.318376897248662,6.0959584289102855,6,0.7631963422330934,0.910301416293427
0,2,1,19.729042093829147,5.968286150529199,8,0.7572339261878527,0.9038898862956314
0,2,2,19.725443978678737,5.968163546961242,9,0.7544838742307041,0.8960977345510616
0,3,1,19.711083245485543,5.970448655511348,7,0.7626995251406816,0.8976649988086729
0,3,2,19.685064426885685,5.958463082942569,7,0.7606472996569014,0.897793679189028
1,0,1,19.861312132474346,5.992359755490422,7,0.7626702878558781,0.8915519696250593
1,0,2,19.847359936954373,5.992119529462643,6,0.7661086045968333,0.8970028544243578
1,1,1,15.168488325455781,5.037599106331214,3,0.7766591960555224,0.8852767962308599
1,1,2,15.16509212752965,5.045428589741078,6,0.7642192735404061,0.8882740758182246
1,2,1,13.800037590912877,4.748897412226039,7,0.7650853018313366,0.8786046511627907
1,2,2,13.812068045104018,4.753256037949328,5,0.7677582661784448,0.8862331575864089
1,3,1,13.580313110097753,4.69930846726493,5,0.7673603413554372,0.8843625264146513
1,3,2,13.582154984893359,4.690823933292629,7,0.7628487048426682,0.8810552118594607
2,0,1,16.269591446158607,5.236279321121468,3,0.7751154398116347,0.8926285849727423
2,0,2,16.25568789978579,5.225876383765839,6,0.7651090597371902,0.8940773141033219
2,1,1,11.860236469162585,4.2921194980968815,5,0.7675394235312882,0.8908079971607713
2,1,2,11.861565373613354,4.2933264764621235,9,0.7547986741449201,0.885288247035341
2,2,1,10.28546172000877,3.9480003273980127,9,0.7560384901970045,0.8909219690709479
2,2,2,10.302178583057565,3.957716596263017,9,0.7535484255177645,0.8862542551942716
2,3,1,9.918756729342347,3.879585633369285,8,0.7578719218282652,0.8913632614587016
2,3,2,9.920764218896398,3.872169061394898,3,0.7775291660369187,0.8820362785254535
3,0,1,14.189860851838862,4.747953766290684,7,0.7631179711168169,0.8912197996464349
3,0,2,14.187639308156914,4.751054152517198,8,0.7595362138998568,0.8960747221565382
3,1,1,10.153487194588305,3.8788211978851685,9,0.7542328906243706,0.8927180455564735
3,1,2,10.145649813525088,3.8791148623361806,9,0.7578681099827428,0.8920676202860858
3,2,1,8.72479489747429,3.560381043014588,5,0.7667048537014207,0.8945122673936233
3,2,2,8.722332856913301,3.5628928356365157,7,0.7600925506237126,0.896584440227704
3,3,1,8.381090388897215,3.481950724555114,8,0.759693726878528,0.8910867773460497
3,3,2,8.369364362461198,3.4745845111438944,3,0.776693894051867,0.8915890055444143
